path	chosen_source	latest_ts_KST	bytes	confidence	notes
scripts/06_QC_Artifact_Diagnostics/02_OE2_RegressOut_Denisenko17.R	cache last-seen; untracked/new	2026-06-29T23:44:56.303000+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/06_QC_Artifact_Diagnostics/02_OE4_LowQuality_Ambient.R	cache last-seen; untracked/new	2026-06-29T11:21:43.135243+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/06_QC_Artifact_Diagnostics/02_RegressOut_Denisenko17.R	cache last-seen; untracked/new	2026-06-30T02:07:53.282000+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/06_QC_Artifact_Diagnostics/02c_Format_Regression_ConfusionMatrix.R	cache last-seen; untracked/new	2026-06-30T03:05:43.551000+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/06_QC_Artifact_Diagnostics/03_OE2_Reclustering_StressRemoved.R	cache last-seen; untracked/new	2026-06-29T13:23:52.312778+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/06_QC_Artifact_Diagnostics/03_OE2_RegressOut_vanDenBrink.R	cache last-seen; untracked/new	2026-06-29T22:27:23.782000+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/06_QC_Artifact_Diagnostics/03_StressMarker_RankEnrichment.R	cache last-seen; untracked/new	2026-06-29T23:55:58.932000+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/06_QC_Artifact_Diagnostics/04_OE2_Reclustering_RegressOut.R	cache last-seen; untracked/new	2026-06-29T17:17:10.630000+09:00	9465	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion [NOTE: a copy physically remains in staging from the earlier VSCode-history dump (kept per keep-prior-dump policy); it is an intermediate, NOT a 07-08 deletion victim]
scripts/06_QC_Artifact_Diagnostics/04_OE2_RegressOut_Denisenko17.R	cache last-seen; untracked/new	2026-06-29T22:27:35.308000+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/06_QC_Artifact_Diagnostics/05_Hillock_Reclustering_RegressOut.R	cache last-seen; untracked/new	2026-06-29T21:32:45.888064+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/06_QC_Artifact_Diagnostics/05_OE2_RegressOut_vanDenBrink.R	cache last-seen; untracked/new	2026-06-29T22:01:13.791558+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
scripts/06_QC_Artifact_Diagnostics/06_OE2_RegressOut_Denisenko17.R	cache last-seen; untracked/new	2026-06-29T22:20:19.441000+09:00	-	removed-pre-deletion	NOT in 2026-07-03 working tree (renamed/consolidated/migrated during 06-29..07-02 refactor); not part of the 07-08 deletion
# ==== MENTION-ONLY (real script paths referenced in caches, no recoverable full content, not in final tree) ====
scripts/03_Epithelial_FilterDecision/Cluster10_Erythroid_Check.R	-	-	-	mention-only	referenced in codex caches but no full-content snapshot exists; not in 2026-07-03 tree
scripts/05_Epithelial_Downstream/Epithelial_AR_HGF_Wnt_ssGSEA.R	-	-	-	mention-only	referenced in codex caches but no full-content snapshot exists; not in 2026-07-03 tree
scripts/05_Epithelial_Downstream/Epithelial_LineagePlasticity_FeaturePlot.R	-	-	-	mention-only	referenced in codex caches but no full-content snapshot exists; not in 2026-07-03 tree
scripts/05_Epithelial_Downstream/Epithelial_Monocle3_persample.R	-	-	-	mention-only	referenced in codex caches but no full-content snapshot exists; not in 2026-07-03 tree
scripts/05_Epithelial_Downstream/Epithelial_PROGENy_pseudobulk_contrasts.R	-	-	-	mention-only	referenced in codex caches but no full-content snapshot exists; not in 2026-07-03 tree
scripts/05_Epithelial_Downstream/Epithelial_Pseudobulk_ssGSEA_HKW_C6.R	-	-	-	mention-only	referenced in codex caches but no full-content snapshot exists; not in 2026-07-03 tree
scripts/05_Epithelial_Downstream/Su2019_PRC1_CCL2_Hypothesis.R	-	-	-	mention-only	referenced in codex caches but no full-content snapshot exists; not in 2026-07-03 tree
